City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
295,grand falls-windsor,48.9332,-55.6649,-4.16,90,100,0.45,CA,2024-02-01
296,nouadhibou,20.931,-17.0347,23.99,35,0,4.12,MR,2024-02-01
297,arraial do cabo,-22.9661,-42.0278,26.98,78,75,4.63,BR,2024-02-01
298,port macquarie,-31.4333,152.9167,21.61,85,3,2.22,AU,2024-02-01
299,loch garman,52.3342,-6.4575,9.51,100,99,1.79,IE,2024-02-01
300,dali,25.7,100.1833,3.64,86,1,2.29,CN,2024-02-01
301,brwinow,52.1427,20.717,5.48,73,40,10.8,PL,2024-02-01
302,luderitz,-26.6481,15.1594,21.13,80,44,6.28,NA,2024-02-01
303,porto recanati,43.4365,13.6613,9.06,39,100,2.48,IT,2024-02-01
304,suicheng,33.8963,117.9331,-5.73,84,82,4.1,CN,2024-02-01
305,pangai,-19.8,-174.35,26.71,87,100,6.84,TO,2024-02-01
306,sao jose da coroa grande,-8.8978,-35.1478,27.28,76,40,4.7,BR,2024-02-01
307,inirida,3.8653,-67.9239,32.72,53,100,1.16,CO,2024-02-01
308,chonchi,-42.6128,-73.8092,24.64,56,99,1.77,CL,2024-02-01
309,meadow lakes,61.6247,-149.6011,-14.82,78,0,0.0,US,2024-02-01
310,srandakan,-7.9386,110.2506,25.36,89,100,4.96,ID,2024-02-01
311,zaozersk,69.4005,32.4476,-1.52,91,100,8.68,RU,2024-02-01
312,ancud,-41.8697,-73.8203,18.21,79,100,3.29,CL,2024-02-01
313,castillos,-34.1667,-53.8333,27.32,50,0,4.32,UY,2024-02-01
314,toamasina,-18.1667,49.3833,26.0,89,20,1.03,MG,2024-02-01
315,el nido,11.1858,119.3956,25.96,78,12,3.64,PH,2024-02-01
316,silopi,37.2497,42.4694,5.65,59,9,2.72,TR,2024-02-01
317,sosnovo-ozerskoye,52.5249,111.5418,-34.92,100,80,0.31,RU,2024-02-01
318,khandyga,62.6667,135.6,-40.76,100,98,1.27,RU,2024-02-01
319,dudinka,69.4058,86.1778,-15.21,91,100,11.05,RU,2024-02-01
320,megion,61.0296,76.1136,-16.99,100,92,2.41,RU,2024-02-01
321,kolonia town,6.964,158.206,28.0,83,75,6.17,FM,2024-02-01
322,sedan,49.6667,5.0,3.38,88,99,0.88,FR,2024-02-01
323,motygino,58.1831,94.7592,-28.45,99,23,1.79,RU,2024-02-01
324,kwang binh,17.4833,106.6,21.25,95,7,1.47,VN,2024-02-01
325,dryden,49.7833,-92.7503,-3.84,74,0,3.09,CA,2024-02-01
326,salaverry,-8.2333,-78.9667,25.21,86,100,3.53,PE,2024-02-01
327,bin yauri,10.7823,4.8114,29.0,16,56,3.63,NG,2024-02-01
328,vitry-le-francois,48.7333,4.5833,7.23,90,93,1.85,FR,2024-02-01
329,princeville,45.7668,-61.2985,1.06,86,100,0.0,CA,2024-02-01
330,walvis bay,-22.9575,14.5053,19.53,88,32,1.54,NA,2024-02-01
331,qui nhon,13.7667,109.2333,20.74,90,56,1.7,VN,2024-02-01
332,callao,-12.0667,-77.15,28.16,61,0,5.66,PE,2024-02-01
333,sigli,5.3848,95.9609,25.7,86,63,1.25,ID,2024-02-01
334,zaragoza,41.6561,-0.8773,11.25,73,0,9.77,ES,2024-02-01
335,hithadhoo,-0.6,73.0833,27.94,74,59,4.55,MV,2024-02-01
336,lakatoro,-16.0999,167.4164,28.55,75,9,1.56,VU,2024-02-01
337,tosontsengel,48.7567,98.2839,-30.27,97,55,0.12,MN,2024-02-01
338,ulladulla,-35.35,150.4667,18.76,85,99,1.86,AU,2024-02-01
339,sakata,38.9167,139.855,0.7,69,100,5.97,JP,2024-02-01
